pop1,pop2,k1,k2
817,0,5.99,-1.00
0,896,-1.00,12.09
0,794,-1.00,13.79
697,0,8.49,-1.00
0,758,-1.00,9.59
743,0,8.39,-1.00
878,0,8.12,-1.00
0,657,-1.00,9.87
31,0,14.55,-1.00
780,0,8.35,-1.00
1095,0,9.92,-1.00
541,0,13.83,-1.00
1095,0,7.34,-1.00
0,980,-1.00,12.87
831,0,7.49,-1.00
0,756,-1.00,9.89
240,0,14.66,-1.00
1368,0,5.47,-1.00
0,834,-1.00,7.03
0,1122,-1.00,8.61
0,1116,-1.00,8.58
0,115,-1.00,15.70
0,0,-1.00,-1.00
1150,0,7.29,-1.00
600,0,11.41,-1.00
0,978,-1.00,10.11
0,676,-1.00,13.26
997,0,5.29,-1.00
0,861,-1.00,9.01
649,0,9.65,-1.00
0,981,-1.00,8.64
1109,0,8.34,-1.00
697,0,8.45,-1.00
27,0,18.41,-1.00
0,926,-1.00,7.99
0,1040,-1.00,9.57
0,809,-1.00,8.80
868,0,10.02,-1.00
666,0,10.14,-1.00
731,0,9.34,-1.00
1161,0,6.45,-1.00
0,688,-1.00,8.15
0,958,-1.00,10.16
1407,0,5.35,-1.00
702,0,8.54,-1.00
827,0,7.96,-1.00
0,1190,-1.00,7.16
692,0,8.75,-1.00
1263,0,6.16,-1.00
1024,0,4.94,-1.00
694,0,9.19,-1.00
647,0,9.91,-1.00
0,556,-1.00,12.03
890,0,6.26,-1.00
839,0,8.77,-1.00
854,0,8.23,-1.00
1117,0,7.95,-1.00
1252,0,5.52,-1.00
900,0,8.80,-1.00
0,866,-1.00,6.63
952,0,4.82,-1.00
828,0,10.24,-1.00
1131,0,8.27,-1.00
909,0,6.12,-1.00
964,0,10.27,-1.00
1325,0,6.85,-1.00
0,90,-1.00,16.21
0,922,-1.00,6.94
0,809,-1.00,7.68
637,0,11.96,-1.00
1381,0,6.49,-1.00
0,930,-1.00,12.24
0,757,-1.00,8.02
705,0,7.37,-1.00
0,1005,-1.00,6.81
915,0,8.34,-1.00
0,1,-1.00,20.00
0,634,-1.00,11.66
0,674,-1.00,9.91
662,0,8.73,-1.00
947,0,7.34,-1.00
1396,0,6.36,-1.00
1327,0,6.73,-1.00
1447,0,6.50,-1.00
708,0,10.87,-1.00
0,1001,-1.00,11.40
1162,0,4.82,-1.00
1028,0,6.16,-1.00
1231,0,6.91,-1.00
0,829,-1.00,9.06
740,0,9.29,-1.00
776,0,9.45,-1.00
0,1159,-1.00,4.51
0,737,-1.00,10.99
0,0,-1.00,-1.00
825,0,6.63,-1.00
0,1075,-1.00,6.26
1153,0,8.37,-1.00
846,0,5.51,-1.00
0,879,-1.00,6.33
0,890,-1.00,8.12
640,0,11.30,-1.00
0,1307,-1.00,5.76
0,967,-1.00,9.56
0,875,-1.00,7.56
1198,0,8.24,-1.00
0,1202,-1.00,8.34
891,0,12.02,-1.00
1318,0,7.65,-1.00
624,0,9.50,-1.00
723,0,6.53,-1.00
903,0,6.50,-1.00
1056,0,5.23,-1.00
0,807,-1.00,7.99
704,0,11.96,-1.00
822,0,8.15,-1.00
1364,0,6.50,-1.00
1274,0,8.24,-1.00
862,0,8.40,-1.00
1143,0,7.74,-1.00
0,1184,-1.00,8.21
789,0,9.26,-1.00
773,0,9.43,-1.00
621,0,10.52,-1.00
807,0,6.71,-1.00
413,0,14.78,-1.00
0,739,-1.00,10.73
683,0,8.39,-1.00
787,0,9.37,-1.00
1154,0,5.37,-1.00
1338,0,6.41,-1.00
709,0,10.69,-1.00
1289,0,5.60,-1.00
1129,0,6.16,-1.00
0,725,-1.00,8.03
0,8,-1.00,15.12
0,928,-1.00,7.37
867,0,6.52,-1.00
0,0,-1.00,-1.00
777,0,11.01,-1.00
1192,0,9.20,-1.00
997,0,7.85,-1.00
1108,0,8.63,-1.00
