rep,k0,k1,k1-k0
561,8.833000,8.184000,-0.649000
562,9.017000,8.164000,-0.853001
563,8.880000,7.847000,-1.033000
564,9.074000,8.405000,-0.669001
565,8.906000,7.926000,-0.980000
566,9.026000,8.340000,-0.686000
567,8.994000,8.167000,-0.827001
568,9.006000,8.259000,-0.747000
569,8.887000,7.984000,-0.903000
570,8.967000,8.274000,-0.693000
571,9.074000,8.343000,-0.731000
572,9.135000,8.198000,-0.937000
573,9.081000,8.228000,-0.853001
574,8.925000,8.127000,-0.798000
575,9.250000,8.424000,-0.826000
576,8.864000,8.153000,-0.711000
577,8.879000,8.191000,-0.688000
578,9.120000,8.466000,-0.654000
579,9.091000,8.335000,-0.756000
580,8.927000,8.182000,-0.745000
581,8.965000,8.098000,-0.867001
582,8.875000,8.096000,-0.779000
583,9.058000,8.244000,-0.813999
584,9.093000,8.455000,-0.638000
585,8.922000,8.144000,-0.778000
586,8.982000,8.105000,-0.877001
587,9.040000,8.423000,-0.617000
588,8.994000,8.152000,-0.842000
589,8.987000,8.165000,-0.822001
590,8.902000,7.980000,-0.922000
591,9.106000,8.317000,-0.789000
592,9.104000,8.376000,-0.728000
593,9.179000,8.333000,-0.846000
594,8.910000,7.948000,-0.962000
595,8.972000,8.380000,-0.592000
596,9.090000,8.352000,-0.738000
597,8.958000,8.071000,-0.887000
598,8.921000,8.116000,-0.804999
599,8.926000,8.014000,-0.912000
600,8.998000,8.206000,-0.792000
601,8.803000,8.056000,-0.747001
602,8.948000,8.083000,-0.865000
603,9.080000,7.888000,-1.192000
604,9.012000,8.232000,-0.780000
605,8.985000,8.133000,-0.851999
606,8.988000,8.372000,-0.616000
607,8.873000,8.070000,-0.803000
608,9.029000,8.259000,-0.770000
609,9.132000,8.380000,-0.752000
610,9.022000,8.293000,-0.729000
611,9.015000,8.269000,-0.746000
612,8.767000,8.033000,-0.734000
613,9.156000,8.284000,-0.872000
614,8.913000,8.191000,-0.722000
615,8.999000,8.329000,-0.669999
616,8.972000,8.226000,-0.746000
617,8.923000,8.106000,-0.817000
618,9.137000,8.499000,-0.638000
619,9.026000,8.131000,-0.895000
620,9.030000,8.148000,-0.882000
621,9.019000,8.398000,-0.621000
622,8.949000,8.112000,-0.837000
623,9.104000,8.322000,-0.782001
624,9.017000,8.166000,-0.851000
625,8.983000,8.401000,-0.582000
626,9.133000,8.446000,-0.687000
627,8.955000,8.241000,-0.714000
628,9.140000,8.358000,-0.782001
629,8.905000,8.134000,-0.771000
630,8.966000,8.450000,-0.516000
631,8.925000,8.143000,-0.782001
632,9.096000,8.181000,-0.915000
633,8.878000,8.144000,-0.734000
634,8.948000,8.149000,-0.799000
635,8.904000,8.181000,-0.723001
636,8.999000,8.448000,-0.551000
637,8.941000,8.231000,-0.710000
638,9.077000,8.044000,-1.033000
639,8.975000,8.324000,-0.651000
640,8.945000,8.151000,-0.794000
641,8.967000,8.101000,-0.866000
642,8.943000,8.104000,-0.839000
643,8.989000,8.189000,-0.800000
644,8.977000,8.217000,-0.760000
645,9.125000,8.295000,-0.830000
646,9.044000,8.104000,-0.940000
647,9.016000,8.048000,-0.967999
648,8.953000,8.174000,-0.779000
649,9.013000,8.105000,-0.908000
650,9.104000,8.234000,-0.870000
651,8.939000,7.970000,-0.969000
652,9.011000,8.200000,-0.811000
653,9.058000,8.344000,-0.714000
654,9.084000,8.211000,-0.872999
655,8.867000,8.089000,-0.778000
656,9.166000,8.659000,-0.507000
657,8.986000,8.075000,-0.911000
658,9.141000,8.335000,-0.806000
659,8.994000,8.335000,-0.659000
660,9.054000,8.247000,-0.807000
661,8.979000,8.198000,-0.781000
662,9.046000,8.222000,-0.823999
663,8.979000,8.062000,-0.917000
664,9.010000,8.285000,-0.725000
665,8.935000,8.261000,-0.674001
666,9.093000,8.471000,-0.622001
667,8.973000,8.131000,-0.842000
668,8.952000,8.440000,-0.512000
669,9.116000,8.451000,-0.665000
670,9.128000,7.936000,-1.192000
671,9.040000,8.041000,-0.999000
672,9.035000,8.317000,-0.717999
673,9.003000,8.437000,-0.566000
674,9.103000,8.186000,-0.917000
675,8.943000,8.070000,-0.873000
676,8.984000,8.366000,-0.618000
677,8.997000,8.197000,-0.800000
678,8.973000,7.989000,-0.984000
679,8.963000,8.312000,-0.651000
680,9.028000,7.968000,-1.060000
681,9.214000,8.580000,-0.634000
682,9.059000,8.098000,-0.961000
683,8.909000,8.313000,-0.596001
684,9.118000,8.009000,-1.109000
685,9.213000,8.174000,-1.039001
686,8.951000,8.082000,-0.869000
687,8.917000,8.134000,-0.783000
688,9.012000,8.136000,-0.876000
689,9.002000,8.192000,-0.809999
690,8.918000,8.214000,-0.704000
691,8.929000,8.109000,-0.820000
692,9.027000,8.296000,-0.731001
693,9.013000,7.770000,-1.243000
694,9.036000,8.146000,-0.890000
695,8.941000,8.069000,-0.872000
696,8.894000,8.253000,-0.641000
697,9.067000,8.381000,-0.686001
698,9.044000,8.144000,-0.900000
699,9.065000,8.248000,-0.816999
700,9.011000,8.169000,-0.842000
701,8.809000,8.011000,-0.798000
702,8.946000,8.369000,-0.577000
703,8.867000,7.907000,-0.960000
704,8.843000,8.012000,-0.831000
705,9.066000,8.173000,-0.893000
706,9.048000,8.375000,-0.673000
707,8.933000,8.113000,-0.820000
708,8.996000,8.328000,-0.668000
709,9.044000,8.105000,-0.939000
710,8.894000,8.014000,-0.880000
711,8.905000,8.077000,-0.828000
712,8.934000,8.287000,-0.647000
713,8.951000,8.148000,-0.803000
714,9.023000,8.224000,-0.799000
715,9.109000,8.330000,-0.779000
716,8.901000,8.105000,-0.796000
717,9.003000,8.254000,-0.749001
718,8.972000,8.292000,-0.680000
719,9.045000,8.261000,-0.784000
720,9.065000,8.599000,-0.466000
721,9.098000,8.324000,-0.773999
722,9.192000,8.731000,-0.461000
723,9.164000,8.402000,-0.761999
724,9.005000,8.205000,-0.800000
725,8.911000,8.101000,-0.810000
726,9.017000,8.118000,-0.899000
727,9.058000,8.312000,-0.745999
728,9.034000,8.083000,-0.951000
729,8.991000,8.287000,-0.704000
730,9.064000,8.372000,-0.692000
731,8.999000,8.461000,-0.537999
732,8.837000,8.013000,-0.824000
733,8.788000,7.949000,-0.839000
734,8.869000,8.334000,-0.535001
735,8.919000,8.132000,-0.787000
736,9.067000,8.043000,-1.024000
737,8.950000,8.353000,-0.597000
738,9.092000,8.289000,-0.803000
739,8.896000,8.121000,-0.775000
740,8.897000,8.232000,-0.665000
741,8.922000,7.841000,-1.081000
742,8.971000,8.378000,-0.592999
743,9.153000,8.440000,-0.713000
744,8.987000,8.051000,-0.936001
745,9.040000,8.222000,-0.818000
746,8.826000,8.082000,-0.744000
747,9.008000,8.201000,-0.807000
748,9.117000,7.964000,-1.152999
749,8.950000,8.113000,-0.837000
750,9.125000,8.355000,-0.770000
751,8.967000,8.170000,-0.797000
752,9.053000,8.210000,-0.843000
753,9.053000,8.233000,-0.820001
754,8.872000,8.005000,-0.867000
755,8.960000,8.160000,-0.800000
756,9.007000,8.267000,-0.740000
757,9.019000,8.167000,-0.852000
758,8.950000,8.213000,-0.737000
759,9.201000,8.292000,-0.909000
760,8.980000,8.086000,-0.893999
761,9.021000,8.087000,-0.934000
762,9.014000,8.126000,-0.888000
763,9.111000,8.260000,-0.851000
764,9.116000,8.173000,-0.943000
765,9.161000,8.220000,-0.941000
766,9.053000,8.111000,-0.942000
767,9.147000,8.122000,-1.025001
768,9.108000,8.546000,-0.562000
769,9.139000,8.191000,-0.948000
770,9.016000,8.302000,-0.714000
771,9.018000,8.250000,-0.768000
772,8.820000,8.213000,-0.606999
773,9.001000,8.061000,-0.940001
774,9.035000,8.208000,-0.827000
775,8.821000,8.014000,-0.807000
