gen,pop1,pop2,k1,k2
339,201,0,9.01,-1.00
340,212,0,9.02,-1.00
341,206,0,8.92,-1.00
342,214,0,8.86,-1.00
343,235,0,9.05,-1.00
344,212,0,9.11,-1.00
345,229,0,9.21,-1.00
346,236,0,9.01,-1.00
347,251,0,8.97,-1.00
348,278,0,9.16,-1.00
349,281,0,9.16,-1.00
350,264,0,9.04,-1.00
351,240,0,9.08,-1.00
352,263,0,9.08,-1.00
353,267,0,9.05,-1.00
354,262,0,9.03,-1.00
355,240,0,9.21,-1.00
356,245,0,9.17,-1.00
357,242,0,9.23,-1.00
358,233,0,9.44,-1.00
359,230,0,9.46,-1.00
360,225,0,9.64,-1.00
361,227,0,9.57,-1.00
362,227,0,9.72,-1.00
363,249,0,9.57,-1.00
364,245,0,9.56,-1.00
365,276,0,9.67,-1.00
366,246,0,9.72,-1.00
367,236,0,9.81,-1.00
368,238,0,10.03,-1.00
369,224,0,10.14,-1.00
370,214,0,10.24,-1.00
371,190,0,10.39,-1.00
372,180,0,10.47,-1.00
373,175,0,10.43,-1.00
374,173,0,10.54,-1.00
375,159,0,10.37,-1.00
376,156,0,10.54,-1.00
377,147,0,10.73,-1.00
378,138,0,10.57,-1.00
379,150,0,10.63,-1.00
380,154,0,10.71,-1.00
381,140,0,10.63,-1.00
382,153,0,10.81,-1.00
383,142,0,10.67,-1.00
384,153,0,10.67,-1.00
385,152,0,10.89,-1.00
386,167,0,10.98,-1.00
387,161,0,10.88,-1.00
388,164,0,11.18,-1.00
389,146,0,11.60,-1.00
390,145,0,11.54,-1.00
391,129,0,11.44,-1.00
392,118,0,11.26,-1.00
393,136,0,11.44,-1.00
394,114,0,11.82,-1.00
395,106,0,12.06,-1.00
396,120,0,12.21,-1.00
397,121,0,12.26,-1.00
398,130,0,12.37,-1.00
399,128,0,12.34,-1.00
400,107,0,12.35,-1.00
401,97,0,12.46,-1.00
402,101,0,12.45,-1.00
403,98,0,12.67,-1.00
404,94,0,12.59,-1.00
405,88,0,12.72,-1.00
406,91,0,12.73,-1.00
407,97,0,12.78,-1.00
408,83,0,13.05,-1.00
409,73,0,13.26,-1.00
410,81,0,13.11,-1.00
411,78,0,12.68,-1.00
412,79,0,12.87,-1.00
413,78,0,12.86,-1.00
414,88,0,12.94,-1.00
415,74,0,13.15,-1.00
416,73,0,13.52,-1.00
417,70,0,13.29,-1.00
418,78,0,13.46,-1.00
419,54,0,13.15,-1.00
420,51,0,12.82,-1.00
421,61,0,13.31,-1.00
422,57,0,12.67,-1.00
423,60,0,12.97,-1.00
424,50,0,13.16,-1.00
425,43,0,13.00,-1.00
426,39,0,12.72,-1.00
427,30,0,12.00,-1.00
428,41,0,11.83,-1.00
429,46,0,11.74,-1.00
430,50,0,11.72,-1.00
431,52,0,11.54,-1.00
432,55,0,11.87,-1.00
433,48,0,12.19,-1.00
434,55,0,11.98,-1.00
435,47,0,12.00,-1.00
436,57,0,11.61,-1.00
437,60,0,11.43,-1.00
438,62,0,11.35,-1.00
439,64,0,11.11,-1.00
440,70,0,10.96,-1.00
441,85,0,10.94,-1.00
442,76,0,10.89,-1.00
443,93,0,10.91,-1.00
444,102,0,11.04,-1.00
445,108,0,11.29,-1.00
446,113,0,11.25,-1.00
447,99,0,11.20,-1.00
448,100,0,11.58,-1.00
449,110,0,11.78,-1.00
450,112,0,11.67,-1.00
451,105,0,11.73,-1.00
452,117,0,11.84,-1.00
453,123,0,11.73,-1.00
454,123,0,11.46,-1.00
455,135,0,11.03,-1.00
456,136,0,10.85,-1.00
457,144,0,10.91,-1.00
458,144,0,10.85,-1.00
459,141,0,10.79,-1.00
460,157,0,10.97,-1.00
461,161,0,10.84,-1.00
462,170,0,10.82,-1.00
463,186,0,10.74,-1.00
464,191,0,10.92,-1.00
465,186,0,10.84,-1.00
466,189,0,10.71,-1.00
467,164,0,10.70,-1.00
468,176,0,10.84,-1.00
469,171,0,10.50,-1.00
470,177,0,10.54,-1.00
471,146,0,10.66,-1.00
472,173,0,10.58,-1.00
473,194,0,10.57,-1.00
474,194,0,10.61,-1.00
475,200,0,10.39,-1.00
476,206,0,10.05,-1.00
477,217,0,9.94,-1.00
478,235,0,9.72,-1.00
479,240,0,9.69,-1.00
480,252,0,9.65,-1.00
481,243,0,9.62,-1.00
482,234,0,9.78,-1.00
483,226,0,9.82,-1.00
484,202,0,9.51,-1.00
